0,painting
1,sculpture
2,fresco
3,drawing
4,printmaking
5,oil painting
6,photography
7,landscape
8,performance art
9,mixed media
10,graphic arts
11,collage
12,teaching
13,tapestry
14,printing
15,mural painting
16,poetry
17,watercolor
18,installation
19,conceptual art
20,architecture
21,still life
22,portrait
23,books
24,woodcut
25,film
26,happenings
27,abstract art
28,stage design
29,ceramics
30,linocut
31,illustration
32,historical painting
33,design
34,costume design
35,set designer
36,impressionism
37,modern art
38,engraving
39,pastel
40,assemblage
41,furniture
42,visual arts
43,scenic design
