0,Impressionism
1,Postminimalism
2,Renaissance
3,Concrete art
4,Abstract art
5,Early Netherlandish painting
6,Romanticism
7,Abstract expressionism
8,Magic realism
9,Tachisme
10,Washington Color School
11,Hard-edge painting
12,Neoclassicism
13,Danish Golden Age
14,Pop art
15,High Renaissance
16,International Gothic
17,Italian Renaissance
18,Dutch Golden Age
19,Cubism
20,Avant-garde
21,Illustration
22,Nocturne (painting)
23,Tonalism
24,Baroque
25,The Eight (painters)
26,Fauvism
27,Northern Renaissance
28,Photorealism
29,Flemish Baroque painting
30,Modernism
31,New York School (art)
32,Figurative art
33,Neo-expressionism
34,Expressionism
35,Surrealism
36,Futurism
37,Northwest School (art)
38,Bay Area Figurative Movement
39,Post-painterly abstraction
40,Geometric abstraction
41,Dada
42,Abstraction-Création
43,Post-Impressionism
44,New York Figurative Expressionism
45,Orientalism
46,Bauhaus
47,Academic art
48,Tinerimea Artistică
49,Byzantine Revival architecture
50,Primitivism
51,Synthetism
52,Art Nouveau
53,Divisionism
54,Gândirea
55,Poporanism
56,Symbolism (arts)
57,Realism (arts)
58,Naïve art
59,Color field
60,New Objectivity
61,American modernism
62,German Romanticism
63,Norwegian romantic nationalism
64,Lyrical abstraction
65,Hudson River School
66,Cubo-Futurism
67,Orphism (art)
68,Mannerism
69,Minimalism (visual arts)
70,Peredvizhniki
71,Conceptual art
72,Arte Povera
73,Portrait painting
74,School of Paris
75,Landscape painting
76,Rococo
77,Novecento Italiano
78,Return to order
79,Shaped canvas
80,Abstract illusionism
81,Painters Eleven
82,Italian Renaissance painting
83,Gothic art
84,Gutai group
85,Pointillism
86,Romantic nationalism
87,Art
88,Northern Mannerism
89,Nouveau réalisme
90,Baia Mare School
91,Socialist realism
92,Norwich School of painters
93,Metaphysical painting
94,Group of Seven (artists)
95,Nuagisme
96,Informalism
97,COBRA (art movement)
98,Minimalism
99,Op art
100,Les Automatistes
101,Neo-Impressionism
102,Berlin Secession
103,Vorticism
104,Macchiaioli
105,Society of Artists of Great Britain
106,St Ives School
107,Modern art
108,November Group (German)
109,Der Blaue Reiter
110,Die Brücke
111,De Stijl
112,Elementarism
113,American Impressionism
114,Precisionism
115,Venetian Renaissance
116,Suprematism
117,Fluxus
118,Realism (art movement)
119,Claude-Joseph Vernet
120,Picturesque
121,Barbizon school
122,Formalism (art)
123,German Expressionism (cinema)
124,Ten American Painters
125,Performance art
126,Conceptualism
127,Neo-Baroque painting
128,Assemblage (art)
129,Dutch Golden Age painting
130,History painting
131,Ancients (art group)
132,Action painting
133,Arts and Crafts movement
134,Capitalist realism
135,German Renaissance
136,Plasticien
137,Dutch and Flemish Renaissance painting
138,Sculpture
139,Russian symbolism
140,Heidelberg School
141,Mir iskusstva
142,Process art
143,Funk art
144,Visionary art
145,Antwerp school
146,Classicism
147,Feminist art
148,Contemporary history
149,Russian Futurism
150,Rayonism
151,Utrecht Caravaggism
152,Manifesto Antropófago
153,Maximalism
154,Hurufiyya movement
155,Contemporary art
156,Postmodernism
157,Kinetic art
158,Abstraction (art)
159,American Figurative Expressionism
160,Social realism
161,Newlyn School
162,Art Deco
163,Criterion (literary society)
164,Constructivism (art)
165,Ofakim Hadashim
166,Contimporanul
