0,Pope Nicholas V
1,Pope Eugene IV
2,Cosimo de' Medici
3,David McKee
4,Zoe Dusanne
5,Gunter Sachs
6,Pavel Tretyakov
7,John Quinn (collector)
8,Dominique de Menil
9,Peggy Guggenheim
10,John de Menil
11,Jean de Jullienne
12,Pierre Crozat
13,Edme-François Gersaint
14,Sergei Shchukin
15,Etta Cone
16,Gertrude Stein
17,Claribel Cone
18,Albert C. Barnes
19,Sarah Stein
20,Fernand Mourlot
21,ser Giuliano di Colino degli Scarsi da San Giusto
22,Felice de Michele Brancacci
23,George III of the United Kingdom
24,William Henry (delegate)
25,Museo de Arte de Ponce
26,Duncan Forbes of Culloden
27,Francis Egerton
28,Ercole II d'Este
29,Alfonso I d'Este
30,James I of England
31,Elizabeth I of England
32,George IV of the United Kingdom
33,Pierre Matisse
34,Georges Clemenceau
35,Ernest Hoschedé
36,Sheldon Dick
37,Esther and Ansley
38,Diego Martelli
39,Goupil & Cie
40,Rodolphe Stadler
41,Anthony Denney
42,Stanisław August Poniatowski
43,Alfred Bruyas
44,Pope Julius II
45,Agostino Chigi
46,Pope Leo X
47,The Electors of Saxony
48,Mary Edwards
49,Prince William
50,Owen Swiny
51,Joseph Smith (1682–1770)
52,Elizabeth A. Sackler
53,Holly Harp
54,Cardinal Francesco Maria del Monte
55,Alof de Wignacourt
56,Mary of Teck
57,Grand Duke of Hesse
