0,European period
1,Antwerp Period (1554-1562)
2,Brussels Period (1563-1569)
3,2nd Tahiti period
4,1st Tahiti period
5,Final period
6,Mature period
7,Rejection of Impressionism
8,Association with Impressionists
9,Surrealism Period (1929-1940)
10,Neoclassicist & Surrealist Period
11,Blue Period
12,Cubist Period
13,First French period
14,Warsaw Period
15,Italian Period
16,Dresden Period
17,Vienna Period
18,Bauhaus
19,Mature Works
20,Early Works
21,Late Works
22,Parisian period (1919-1927)
23,Brussels pre-war and war years
24,Antropofagia
25,Early Career NY: 1948–1958
26,American period
27,Rose Period
28,PUBLIC COMMISSIONS AND THE WAR: 1937–1945
29,Surrealist Paris years
30,Vache Period
31,Early works
